latitude,longitude,blk_no,road_name,postal_code,address,cbd_dist,min_dist_mrt
1.37509746867904,103.83761896123,174,ANG MO KIO AVENUE 4,560174,174 ANG MO KIO AVE 4,10296.855747450894,1097.3955479599388
1.37392238703482,103.855621370524,541,ANG MO KIO AVENUE 10,560541,541 ANG MO KIO AVE 10,10065.227416983798,797.8427192893865
1.37355178595963,103.838168959329,163,ANG MO KIO AVENUE 4,560163,163 ANG MO KIO AVE 4,10118.831546229843,1178.8749317532806
1.36776095130953,103.855357145908,446,ANG MO KIO AVENUE 10,560446,446 ANG MO KIO AVE 10,9383.300906657661,689.118462017334
1.3716257020332,103.857736107527,557,ANG MO KIO AVENUE 10,560557,557 ANG MO KIO AVE 10,9825.917255448436,923.8981176044866
1.38020079047279,103.83575571651,603,ANG MO KIO AVENUE 5,560603,603 ANG MO KIO AVE 5,10886.292879922594,1034.7608118551282
1.37113720765377,103.847662320064,709,ANG MO KIO AVENUE 8,560709,709 ANG MO KIO AVE 8,9754.165209800212,247.08537038161913
1.3613425564061,103.851698621454,333,ANG MO KIO AVENUE 1,560333,333 ANG MO KIO AVE 1,8662.831359539145,988.3763750121393
1.37009653758337,103.837687775294,109,ANG MO KIO AVENUE 4,560109,109 ANG MO KIO AVE 4,9749.107068283694,1324.3743994114066
1.36984837555524,103.859404131956,564,ANG MO KIO AVENUE 3,560564,564 ANG MO KIO AVE 3,9645.50714480663,1092.5911356414808
1.36511908595886,103.841742478489,218,ANG MO KIO AVENUE 1,560218,218 ANG MO KIO AVE 1,9142.392606733416,1027.9104842750269
1.37203236308683,103.857625375797,556,ANG MO KIO AVENUE 10,560556,556 ANG MO KIO AVE 10,9869.87808371094,921.5913175495732
1.37549519574964,103.839947470774,156,ANG MO KIO AVENUE 4,560156,156 ANG MO KIO AVE 4,10305.384187375235,887.265901653994
1.36346600647245,103.856702918462,471,ANG MO KIO AVENUE 10,560471,471 ANG MO KIO AVE 10,8917.812405820523,1073.7587312427077
1.3678915069194,103.85345502653,434,ANG MO KIO AVENUE 10,560434,434 ANG MO KIO AVE 10,9389.930691983032,490.7727980919183
1.37081626777721,103.859192334256,560,ANG MO KIO AVENUE 10,560560,560 ANG MO KIO AVE 10,9749.916280701098,1072.4209458264002
1.36167030761833,103.851955453764,332,ANG MO KIO AVENUE 1,560332,332 ANG MO KIO AVE 1,8699.264664377592,960.6551222140951
1.36538422642267,103.852966961527,421,ANG MO KIO AVENUE 10,560421,421 ANG MO KIO AVE 10,9111.51385022356,636.184382034697
1.37440041920745,103.84893617353,506,ANG MO KIO AVENUE 8,560506,506 ANG MO KIO AVE 8,10110.012961257798,489.21954063236683
1.3795572819161,103.840735651035,631,ANG MO KIO AVENUE 4,560631,631 ANG MO KIO AVE 4,10741.347016563182,526.0693030555245
1.37635745661369,103.842056476563,153,ANG MO KIO AVENUE 5,560153,153 ANG MO KIO AVE 5,10374.118952435672,677.714420906834
1.36565326940253,103.855232195496,442,ANG MO KIO AVENUE 10,560442,442 ANG MO KIO AVE 10,9149.845414864623,792.6082645973435
1.37123613284274,103.859192016193,558,ANG MO KIO AVENUE 10,560558,558 ANG MO KIO AVE 10,9796.151762391999,1077.1677519671305
1.36880359418469,103.841618072603,212,ANG MO KIO AVENUE 3,560212,212 ANG MO KIO AVE 3,9548.710023213265,897.1801868204151
1.3766876256746,103.840159506601,152,ANG MO KIO AVENUE 5,560152,152 ANG MO KIO AVE 5,10433.42444223826,772.1580328876942
